HaloId,GrpId,Timestep,NowGroup,HaloMass,TotalParticles,TotalDarkParticles,MassRatio,Prog
10371,57,11,6,8113894043,10207,6491,-1,0
68248,3,12,6,51847802910,96242,38002,9.895940525,1
11121,26,12,6,11926015495,18516,8815,-1,0
30850,67,12,6,6560208961,8017,5310,-1,0
19130,72,12,6,5239300174,7218,4098,9.895940525,0
70402,4,13,6,31685254337,50337,23491,-1,1
22875,36,13,6,5687865503,8220,4297,-1,0
52513,49,13,6,4662169929,6247,3635,-1,0
72746,67,13,6,4115238813,4865,3358,-1,0
50356,7,14,6,14665243157,22987,10841,-1,1
27048,7,15,6,10013771918,14536,7580,-1,1
56248,9,16,6,4000880347,5865,3013,-1,1
16482,7,1,7,1.36078E+11,327982,97661,-1,1
14132,7,2,7,1.34945E+11,323880,96841,-1,1
7616,7,3,7,1.31118E+11,300304,94337,-1,1
33204,7,4,7,1.29514E+11,279693,93718,-1,1
68219,6,5,7,1.30192E+11,263288,95014,-1,1
53498,6,6,7,1.28724E+11,247336,94333,-1,1
79695,5,7,7,1.15676E+11,206838,85084,-1,1
23561,6,8,7,64878244307,96919,49299,2.706595562,1
64165,15,8,7,23970424401,64064,14968,2.706595562,0
15,8,9,7,39961730738,78156,28167,-1,0
15753,11,9,7,35741232145,58425,26064,-1,1
50432,8,10,7,44423223966,77614,32355,-1,0
4548,15,10,7,26562917882,43174,19446,-1,1
25143,8,11,7,38854475386,65949,28432,-1,0
13921,12,11,7,23113557481,36866,16942,-1,1
56980,8,12,7,31457915976,53014,23050,-1,0
6605,12,12,7,21367750282,32877,15876,-1,1
57944,9,13,7,20573131604,31648,15490,-1,0
50977,20,13,7,10072871361,13953,7755,-1,1
42882,8,14,7,14511235481,20411,11201,-1,0
61839,25,14,7,4216391169,5593,3293,-1,1
10530,8,15,7,8907611920,12183,6954,-1,0
59549,7,16,7,6348973951,8291,5006,-1,0
34528,8,1,8,93832438583,250512,67643,-1,1
69561,8,2,8,93458131720,247284,67403,-1,1
48593,8,3,8,89077694180,226136,64157,-1,1
1503,8,4,8,85146393171,206404,61314,-1,1
76247,8,5,8,81838129640,187903,59023,-1,1
42595,8,6,8,79708439871,174040,57631,-1,1
78078,8,7,8,74118483946,143414,54070,-1,1
63792,8,8,8,67212720340,124664,49045,-1,1
61534,7,9,8,59509221282,104963,43413,-1,1
39122,7,10,8,46464443275,79116,34101,5.581625634,1
36944,53,10,8,8324535955,13053,6165,5.581625634,0
77966,7,11,8,46462245313,73493,34752,-1,1
16703,45,11,8,8548468904,13209,6353,-1,0
18088,6,12,8,41556039677,63866,31230,-1,1
53657,45,12,8,7741497823,11856,5754,-1,0
22841,13,13,8,14670466231,20634,11294,2.075664789,1
