NowGroup,NowHalo,CurrentTime,CurrentGrp,CurrentHalo,NextGrp,NextHalo,SharedParticleCount,SharedDarkParticleCount
11,11329,7,27,55233,33,27008,30259,13432
11,11329,7,62,60788,53,29908,14774,6199
11,11329,8,33,27008,31,4,26362,12223
11,11329,8,53,29908,43,29874,15931,8202
11,11329,8,32,33253,29,34360,26647,12297
11,11329,9,31,4,29,70502,23159,12000
11,11329,9,43,29874,55,1594,10570,6487
11,11329,9,29,34360,25,14468,25523,12836
11,11329,10,55,1594,77,35905,5216,3263
11,11329,10,25,14468,24,62661,22762,12638
11,11329,10,29,70502,29,41850,19077,10354
11,11329,11,29,41850,30,47845,15260,8424
11,11329,11,24,62661,24,32524,17168,10144
117,11345,1,117,11345,116,59435,7336,4462
117,11345,2,116,59435,115,79801,6807,4087
117,11345,3,115,79801,119,39089,6654,3906
117,11345,4,119,39089,115,1544,6479,3760
117,11345,5,115,1544,121,57901,6373,3714
117,11345,6,121,57901,112,6211,5459,3205
117,11345,7,112,6211,109,23691,5840,3610
117,11345,8,109,23691,123,23014,5189,3373
14,12360,1,14,12360,14,3787,163804,59900
14,12360,2,14,3787,13,30807,147553,56774
14,12360,3,13,30807,12,74219,138827,56925
14,12360,4,12,74219,11,60919,127530,55487
14,12360,5,11,60919,11,48860,114929,51635
14,12360,6,11,48860,34,66608,31382,14762
14,12360,6,11,48860,17,71384,55288,24489
14,12360,7,34,66608,30,15817,28818,14306
14,12360,7,17,71384,19,10096,47635,21871
14,12360,8,19,10096,19,31191,38636,19018
14,12360,8,30,15817,34,15197,26402,14557
14,12360,9,34,15197,39,39869,13345,8116
14,12360,9,19,31191,22,12194,31489,16349
14,12360,10,22,12194,22,16867,22402,11451
14,12360,10,22,12194,98,47031,5389,2841
14,12360,10,39,39869,102,4582,4873,2836
14,12360,11,22,16867,33,56140,15298,8045
14,12360,11,98,47031,79,17620,5031,2734
14,12360,12,33,56140,40,40821,6374,3551
14,12360,13,40,40821,27,54275,4197,2537
200,12926,1,200,12926,198,34982,3509,2636
