nowGroup,grpID,timeStep,mass,totalParticles,HI,prog,massRatio
31077,15123,7,5.77E+07,171,0,0,-1
31077,42243,5,2373510.568,7,0,0,-1
31077,29875,4,5086094.074,15,0,0,-1
31077,42124,5,1356291.753,4,0,0,-1
31077,30247,3,5086094.074,15,0,0,-1
31077,15435,6,2034437.63,6,0,0,-1
31077,14894,6,5.93E+07,181,4.208621988,0,-1
31077,42227,5,3729802.321,11,0,0,-1
31077,42002,5,1017218.815,3,0,0,-1
31077,14974,7,8183125.848,25,0,0,-1
31077,30490,3,3051656.444,9,0,0,-1
31077,27201,6,1017218.815,3,0,0,-1
31077,46896,5,8.57E+07,256,0.002801442,0,-1
31077,20056,7,2034437.63,6,0,0,-1
31077,29760,4,1.02E+07,30,0,0,-1
31077,42230,5,3.81E+07,114,0,0,-1
31077,41999,5,4068875.259,12,0,0,-1
31077,15010,7,1695364.691,5,0,0,-1
31077,30177,3,339072.9383,1,0,0,-1
31077,42209,5,2373510.568,7,0,0,-1
31077,20875,6,3136750.71,10,6.40E-04,0,-1
31077,42145,5,4747021.136,14,0,0,-1
31077,30311,3,3.48E+07,107,0.390736904,0,-1
31077,15310,6,2712583.506,8,0,0,-1
31077,29811,4,1017218.815,3,0,0,-1
31077,14845,7,5425167.012,16,0,0,-1
31077,29842,4,3051656.444,9,0,0,-1
31077,29403,2,1695364.691,5,0,0,-1
31077,42202,5,1695364.691,5,0,0,-1
31077,29207,2,4068875.259,12,0,0,-1
31077,15046,6,2.71E+07,80,0,0,-1
31077,15283,6,6781458.766,20,0,0,-1
31077,14950,7,2712583.506,8,0,0,-1
31077,15177,7,1017218.815,3,0,0,-1
31077,15167,7,678145.8766,2,0,0,-1
31077,29890,4,5.59E+08,1687,0.138564037,0,-1
31077,33789,3,4068875.259,12,0,0,-1
31077,30264,3,4407948.198,13,0,0,-1
31077,14892,6,2034437.63,6,0,0,-1
31077,27005,7,7036741.548,23,0.003772612,0,-1
31077,30029,4,3390729.383,10,0,0,-1
31077,19201,6,3.53E+07,105,7.42E-04,0,-1
31077,30043,4,4407948.198,13,0,0,-1
31077,29456,2,678145.8766,2,0,0,-1
31077,29784,4,1.39E+07,41,0,0,-1
31077,30403,3,3390729.383,10,0,0,-1
31077,29222,2,3729802.321,11,0,0,-1
31077,14979,7,2034437.63,6,0,0,-1
31077,30169,3,6781458.766,20,0,0,-1
31077,45980,5,1017218.815,3,0,0,-1
31077,30219,3,5425167.012,16,0,0,-1
31077,27273,7,3.76E+07,118,3.877335399,0,-1
31077,42053,5,5.15E+07,152,0,0,-1
31077,30025,4,6442385.827,19,0,0,-1
31077,15120,6,678145.8766,2,0,0,-1
31077,29381,2,6.04E+07,183,0.083876014,0,-1
31077,30417,3,1356291.753,4,0,0,-1
31077,15273,6,3051656.444,9,0,0,-1
31077,29420,2,2.00E+07,59,0,0,-1
31077,15365,6,3051656.444,9,0,0,-1
31077,29390,2,4068875.259,12,0,0,-1
31077,30029,3,2712583.506,8,0,0,-1
31077,42231,5,2034437.63,6,0,0,-1
31077,14842,7,5425167.012,16,0,0,-1
31077,14918,7,678145.8766,2,0,0,-1
31077,29439,2,1017218.815,3,0,0,-1
